šāyēd būd ka,,"it is possible that, it may happen that  15"
šāyēm,,we can (see Lesson 12)  11
šud āmad,,"going and coming, going back and forth  16"
tā haft rōz,,in/within/after seven days  07
tā hamē (ud) hamē-rawišnīh,,for ever and ever  14
tā hamē ud hamē-rawišnīh,,forever and ever  07
tā ō,,all the way to  09
tag abar kerdan,,"set upon, attack  11"
tag abar kun-,,attack  13
tan andar uzīd,,appr. “he went out of his skin”?  14
tar sāl,,for over a year  18
tašt tašt,,bowl after bowl  14
wāng bar-,,"call, shout  17"
wāng dār-,,"‘have a voice’, shout  13"
war warz-,,take an oath  19
warzāwandīhā,,by using (one’s) miraculous powers  17
widarg band-,,close a passage  13
widārīh-,,be passed through (one another)  15
X bār ēdōn ... čiyōn,,X times as ... as ...  17
xūb,,"good, valid (legal)  10"
xwadāyīh kun-,,rule  14
xwarrah,,Xwarrah  06
xwēš tan warz-,,"cultivate one’s body, take care of oneself (?), do exercise (?)  10"
xwēšān a-xwēšān,,one’s own (family) and those not one’s own  19
zamān ī akanārag,,"for an unlimited time (duration of time, without preposition)  03"
zan kun-,,marry  10
1-mōg (ēw-mōg),<1-mwk'>,walking with one shoe  07
1000 (hazār),"<1000, hc’l>",a thousand  05
2-pāy (dō-pāy),<2-p’d>,"biped, living being on two feet  07"
2-zang,<2 zng>,"two-legged, biped  18"
3 = sē,"<3, TLTA>",three  10
3-parrag,<3-plk'>,"having three feathers, with three feathers  08"
3-pāy (sē-pāy),<3-p’ḏ>,with three feet  03
3-šabag,<3 špk'>,three nights’  12
30¬ = sī,<30>,thirty  08
" 33 (sī ud sē, sēz-sī)",<30 3>,a “Thirty-three” ritual  05
4-pāy (čahār-pāy),<4-p’d>,"quadruped, living being on four feet  07"
4-zang,<4 zng>,"four-legged, quadruped  18				4. “out, away”  05"
40-sālag,<40 ŠNTk'>,forty-year-old  12
7-kišwar,<7 kyšwl>,containing 7 continents  16
9 (nō),<3 3 3>,"nine, 9  04"
ābād-xīrīh,<’p̄’t' hylyh>,prosperity  15
ābādānīh,<’p̄’t’nyh>,inhabited area  12
ābādīh ,<’p̄’tyh>,"wealth, prosperity, well-being  13"
abāg,<LWTE>,with  03
abāgēn- abāgēnīd,<’p̄’kyn->,accompany  10
abāgīh,<’p̄’kyh>,accompaniment; < abāg “together with”  07
abām,<’p̄’m>,"loan, debt  16"
abar gōw-,"utter, recite  04",
abar-arzānīg,<QDM ’lc’nyk'>,supremely (?) deserving: + pad “of”  18
abar-kār,<QDM-k’l>,"superior, more effective than all others  15"
abar-nigāhdārīh,<’p̄l-nk’h-d’lyh>,"watch, guard; from nigāh dār- “to watch, guard”  07"
Abarg,<’p̄lg>,"Abarg, name of a scholar-priest  09"
abargar,<’p̄lgl>,who works above  06
abārīg,<’p̄’ryk'>,"the other, the remaining  03"
abārōnīh,<’p̄’lwnyh>,bad behavior  08
abartar,<’p̄ltl>,higher  16
abartom,<’p̄ltwm>,"uppermost, supreme  16"
abarwēzīh ,<’p̄lwycyh>,"superiority (in battle, etc.)  14"
abaxšāyišnīh,<’p̄hš’yšnyh>,forgiveness  11
abaxšīh,<’p̄hšyh>,pity  11
abāxtar,<’p̄’htl>,north; planet  10
abāyišnīg ,<’p̄’dšnyk'>,"needed; pleasing, attractive  12"
abāyišnīg ,<’p̄’dšnyk'>,"pleasing, attractive; needed  08"
abāyišnīgīh ,<’p̄’dšnykyh>,"pleasingness, attractiveness  13"
abāyist ,<’p̄’dst'>,"wish, liking, necessity (?)  13"
abāz ,"<LAWHL, ’p̄’c'> ","back, backward  05"
abāz nišast,<’p̄’c-nšst'>,“sitting back”; not too prominent?  08
abāz-dārišnīh,<LAWHL d’lšnyh>,"holding back, withstanding  17"
abāz-kūn,<’p̄’c ŠTE>,“back-assed” = flat-assed (?)  08
abāz-pursīdār,<’p̄’c pwrsyt’l>,asking again  11
abd ,<’p̄d>,"marvelous, wonderful  11"
abdīh ,<p̄dyh>,"marvel, wonder   16"
abdom,<’p̄dwm>,last; in the end  01
abē-bīm,<’p̄y-bym>,"fearless, without fear (of: az)  07"
abē-bīmīh,<’p̄y-bymyh>,"freedom from fear, fearlessness (of: az)  13"
abē-kafš,<’p̄yd kpš>,shoe-less  16
abē-mizag,<’p̄yymck'>,tasteless  11
abē-wābar,<’p̄yd w’p̄l>,"unbelievable, untrue  16"
abēbar,<’by-bl>,"fruitless, not bearing fruits  10"
abēbēš,<’p̄ybyš>,unharmed  14
abēgumān ,<’p̄y-gwm’n>,having no doubts  09
abēgumānīh,<’p̄ygwm’nyh>,state of non-doubting; freedom from doubt  01
abēr,<’p̄yl>,very  06
abērāh,<’p̄yd-l’s>,having lost one’s way  10
abēš ,<’byš>,free from harm  08
abesih- abesihist,"<’p̄ysh-, ’p̄sh->",be destroyed  10
abesih- abesist,"<’p̄syh-, ’p̄sst'>",be destroyed (< cut off); cf. abesihist  14
abesihēn- abesihēnīd,<’p̄shyn->,"cause to perish, destroy  13"
abesihišn ,<’p̄shšn'>,destruction  14
abespār- abespurd ,"<’p̄sp’l-, ’p̄spwlt'>","deliver, render, hand over, transfer  06"
Abestāg ,<’p̄st’k'>,Avesta  04
abestāmīh,<’p̄st’myh>,"having as refuge, support  12"
ābestan = ābustan   10,,
abēzagēn/īh-,<’p̄yckyn/yh->,make/be made pure  17
abēzagīh,<’p̄yckyh>,purity  02
abgan- abgand ,<LMYTN->,"throw (away), abort  10"
ābgēnag,<’p̄kynk'>,glass   13
ābgēnagēn,<’p̄kynkyn'>,of glass  09
ābīg,<’p̄yk'>,"water-, living in the water  10"
abornāyīg,<’p̄ln’(y)yk'>,  16
abowandag,<’bwndk'>,incomplete  13
aboxšīdārīh,<’p̄whšyt’lyh>,"forgiveness, mercy  15"
abōxtišnīg,<’bwhtšnyk'>,going to not be saved  19
abōy ,<’bwd>,unconscious  14
ābsālān (MacK. *afsālān),<’p̄s’l’n'>,springtime  18
aburnāyīg/,<’p̄wln’(y)yk'>,child (under 15)  16
Abursēn,<’p̄wlsyn'>,name of a mountain  10
ābus,<’p̄ws>,pregnant  10
ābustan ,<’p̄(w)stn'>,pregnant  10
"ābustan, ābestan","<’pwstn', ’pstn'>",pregnant  15
,EW˙dahAWcÅ,<’p̄whš’yšnyh>
abzār,<’p̄z’l>,"tool, resource  14"
abzār ,"<’p̄z’l, ’p̄c’l>",tool  09
abzāy- abzūd,<’p̄z’d- ’p̄zwt'>,increase (intransitive)  09
abzāyēn-,<’p̄z’yyn->,"to increase, cause to grow  17"
abzōnīg ,<’p̄zwnyk'>,making increase (for Av. spəṇta ‘life-giving’)  06
abzōnīgīh,<’p̄zwnykyh>,being full of increase/growth  15
ačārag,<’c’lk'>,helpless; + andar “against”  10
adādestānīh,"<’d’tst’nyh, ’DYNAyh>","lawlessness, lack of justice  11"
adādīhā,<’d’tyh’>,not according to/against the law  13
adān,<’d’n'>,"without knowledge, ignorant  13"
ādūg ,<’twk'>,able (to); + infinitive  11
ādur,<’twr'>,fire  04
ādur,<’twr'>,fire  05
Ādur,<’twr'>,"the divine fire, son of Ohrmazd  04"
Ādurbād,<’twrp’t'>,a famous high priest in the 4th century  03
Ādurbādagān ,<’twr'p’tk’n'>,name corresponding to modern Azerbaijan  10
Afrāsyāb,<’p̄l’syd’p̄'>,"Afrāsyāb (Frāsiyāb); a Turanian, Iranians’ epic enemy   14"
āfrīn ,<’p̄ryn'>,blessing; + kun-: bless  06
āfrīnagān,<’p̄rynk’n'>,"Āfrīnagān, name of a a ceremony  10"
āfrīnišnīh = āfrīn,<’p̄rynšnyh>,blessed be! (lesson 12)  15
āfsār- afsārd,<’p̄s’l- ’p̄s’lt'>,cool  16
afsār- afsārd,<’p̄s’l- ’p̄s’lt'>,"cool, extinguish (fire)  17"
ag-dēn,<’kdyn'>,having an evil Dēn  18
ag-dēnīh,<’kdynyh>,community of ag-dēns  18
āgāh ,"<’k’s, ’k’h>",aware; + az “of”  13
āgāhīh,<’k’syh>,"awareness, knowledge, information  10"
agar,<HT>,if  09
agār (a-kār),<’k’l>,"undone, helpless  14"
agārag,<’k’lk'>,inactive  15
agāragīh (a-kāragīh),<’k’lkyh>,impotence  14
agārēn-,<’k’lyn->,incapacitate  17
āgenēn,<’knyn'>,together  11
āgōz- āgust,<’kwc- ’kwst'>,"hang up, suspend  16"
agriftār ,<’glpt’l>,"untouchable, intangible  14"
agumān ,<’gwm’n'>,not doubtful  17
agumēzišn,<’gwmycšn'>,"unmixed, not part of the Mixture  13"
āh-,<’h->,sit  18
āhang,<’hng>,inclination  15
āhanǰ- āhaxt,<’hnc- ’hht'>,pull  09
ahanūn-iz ,<’hnwnc>,still; + nē “not yet”  14
ahanūn-iz ,<’hnwnc>,still; + nē “not yet”  19
ahanūz,<’hnwc>,yet; ahanūz ... nē “not yet”  11
ahanūz; ahanūz ... nē,<’hnwc>,still; not yet  09
āhen,<’syn'>,iron  13
āhenēn,<’synyn'>,of iron  09
āhenǰ- (āhanǰ-) āhaxt,"<’hnc-, ’hht'>","pull, draw (water) = henǰ- haxt  15"
ahīy,<KZY>,earlier (adverb); + rāy “before” (postposition)  10
ahīy,<KZY>,"first, at first; sooner  17"
ahlaw,<’hlwb'>,Righteous (opposite: druwand)  03
ahlawdād,<’hlwb' d’t'>,alms  18
ahlāyīh,"<’hl’dyh, ’hl’yh >",Righteousness  03
ahlāyīhōmand,<’hl’yyh’wmnd>,possessed of Righteousness  11
ahlomōγ,<’hlmwk'>,heretic; inscr. <’lswmwkȳ>  18
ahlomōγīh,<’hlmwkyh>,"being a heretic, heresy  18"
āhōg,<’hwk'>,blemish  17
āhōgēn- āhōgēnīd ,<’hwkyn-yt'>,"to soil, sully, pollute  14"
āhōgēnišnīh,<’hwkynšnyh>,"soiling, sullying  17"
ahōš,<’hwš>,immortal  17
ahrām- ahrāft/,<’hl’m- ’hl’p̄t'>,"lift up, raise, make go up  18"
,  18,
Ahrimen,<’hlmn'>,"Ahrimen, the Evil One  01"
ahunsandīh ,<’hwnsndyh>,discontent  06
Ahunwar,<’hw(n)wl>,a sacred text  04
Ahunwar,<’hw(n)wl>,name of the first strophe of the first Gatha  13
aǰgahānīh (ažgahānīh),<’šgh’nyh>,laziness  15
akāmagōmand,<’k’mk’wmnd>,unwilling  09
akanārag,<’kn’lk'>,limitless  02
akanārag-zamānīg,<’kn’lk' ẕm’nyk'>,which lasts for a limitless time  17
akārag,<’k’lk'>,"inactive, helpless (?)  19"
Akataš,<’ktš>,"Akataš, a demon, lit. “evil-fashioner”  08"
akēn,<’kyn'>,without malice  13
akerd,<’-krt'>,undone  10
akerd,<’krt'>,"undone, not done  07"
Alaksandar,<’lksndl>,Alexander  09
almāst,<’lm’st'>,steel  11
ālūdagīh,<’lwtkyh>,pollution; cf. NPers. āludagi-e havā “air pollution”  19
amahrspand,<’mhrspnd>,the six Life-giving Immortals  03
amar,<’ml>,"countless, innumerable  10"
āmār (ahmār),"<’m’l, ’hm’l>","counting, accounting  16"
amaragān,<’mlk’n>,"the many, the common people  18"
amaragānīhā,<’mlk’nyh’>,"generally, commonly, universally  18"
amarg,<’mlg>,undying  06
amarg-rawišnīh,<’mlg lwbšnyh>,renders Av. amərətatāt “non-dyingness”  19
amāwand ,<’m’wnd>,powerful  06
amāwand ,<’m’wnd>,powerful  07
amāwandīh,<’m’wndyh>,"powerfulness, strength  10"
ambar,<’mbl>,amber  10
Amurdad,<’mwrdt'>,6th of the Amahrspands  07
Amurdad,<’mwrdt'> ,protector of water  15
āmurz- āmurzīd,<’mwlc->,"forgive, show mercy to  15"
āmurzēn-,<’mwlcyn->,show mercy  16
āmurzēn- āmurzēnīd,<’mwlcyn->,provide forgiveness  11
āmurzīdārīh,<’mwlcyt’lyh>,"mercy, forgiveness  04"
āmurzišnōmand,<’mwlcšn’wmnd>,full of forgiveness  11
ān,<ZK>,that  03
ān bawēd ka,that is the case when  04,
anābādān,<’n’p̄’t’n'>,uninhabited  12
anabēdān,<’n’p̄yt’n'>,‘un-approached’ (sexually; Av. term)  09
ānāft-zōr,<’n’pt' zwl>,whose strength is frustrated/averted  19
anāg-kerdār,<’n’k-krt’l>,evil-doing  07
anāg-kerdārīh ,<’n’k-krt’lyh>,evil-doing  06
anāgāh ,<’n’k’s>,unaware  14
anāgīh,<’n’kyh>,evil  04
anāhōg,<’n’hwk'>,"unblemish, unsullied  18"
anāmurzīšnīh,<’n’mwlcšnyh>,mercilessness  11
anāštīh,<’n’štyh>,"lack of peace, war  05"
andak-ōzag,<’ndk' ’wck'>,having little strength  16
andar,<BYN>,"in, inside; during  01"
andar-māh,<’ndl-m’h>,the moon between new moon and full moon   09
andarak-gāh,<’ndlkg’s>,the place inbetween   19
andarg,<’ndlg>,between  09
andarrōn,<’ndlwn'>,inside; as preposition: + ī   06
andarrōn (< andar-rōn),"<’ndlwn', BYN-lwn'>","inner, interior, inside; + az or ī: “inside, within”  09"
andarrōn-nēmag,<’ ndlw(n)-nymk'>,the inside  09
andarwāy,<’ndlw’d>,"the intermediate space (between heaven and earth), atmosphere  04"
andōh ,<’ndwh >,"sadness, sorrow  17"
anēmēd,<’n’ymyt'>,hopeless  19
anešnāsag,<’nšn’sk'>,"unknowing (an-, see Lesson 8)  13"
angust,<’ngwst'>,finger  16
anīy,"<AHRN, ZK’y>","another, any other  04"
aniyābagīh,<’nyd’p̄kyh>,inappropriateness  13
aniyāz,<’n’’c'>,"needless, having no need; + az, ō, or pad “for”  16"
ānōh,<TME>,there  04
anōš,<’nwš>,nectar  06
anōšag ,<’nwšk'>,immortal  15
anōšag-ruwān ,<’nwšk'-lwb’n'>,"‘of immortal soul’, dead  03"
apādyāwand,<’p̄’ty’wnd>,lacking strength  16
apanāhīh,<’pn’hyh>,having no protection  12
apaydāg,<’-pyt’k'>,"indiscernible, unnoticeable  18"
apetyārag,<’pyty’lk'>,lacking adversity  06
appar- appurd ,<YHNCLWN->,"take away, steal, rob  11"
"appar, apparag","<’p̄l, ’p̄lk'>",robber  10
apparīh,<’p̄lyh>,robbery   11
Arāg,<’l’k'>,name of a county/province  17
Ardā Wirāz,<’lt’ wyl’c'>,proper name  04
Ardawān,<’ldw’n'>,Ardawān  04
Ardawān,<’ldw’n'>,Ardawān  06
Ardaxšīr,<’ldhšyl>,Ardaxšīr  06
Ardaxšīrān,<’ldhšyl’n'>,son of Ardaxšīr  15
ardīg ,<’ltyk'>,battle  13
ardīkkarīh (ardīg-garīh),<’ltykglyh>,"fighting, battle  14"
Ardwahišt,<’rtwhšt'> ,protector of fire  15
Ardwahišt ,<’rtwhšt'>,"Ardwahišt, one of the amahrspands  06"
Ardwīsūr ,<’ldywswl>,"Ardwīsūr, goddess of the heavenly river  06"
Ardwīsūr (Ardīwsūr),<’lḏywswl>,"Ardwīsūr, the heavenly river  11"
arešk-gōhrīh ,<’lšk-gwhlyh>,having an envious/jealous nature  14
arešk-kāmag,<’lyšk-k’mk'>,having envy as one’s wish  09
arešk-kāmagīhā,<’lyšk-k’mkīhā>,adverb from arešk-kāmag: “since his/its wish was envy” (Lesson 13)  09
ars,<’ls>,tear  08
artēštār ,<’ltyšt’l>,"soldier, warrior  10"
Artēštārestān,<’ltyšt’lst’n'>,Book about warriors  18
arwand,<’lwnd >,"fleet, fast; Av. auruuaṇt  15"
Arwand,<’lwnd>,name of a river  08
arwand-asp,<’lwnd-’sp'>,with fleet (speedy) horses  09
arwēs,<’lwys>,rope  16
arzānīg,<’lc’nyk'>,worthy; + pad “of”  10
arzānōmandīh,<’lc’n’wmndyh>,(great) value  13
Arzāsp,<’lc’sp'>,"Arzāsp, king of the Khionians  05"
