,UID,Term,Emic_Term,Translit,Scope,Tags,JoinKey,Def,Spec,Source
42,17,quruq,قرققوروق,qūrūq,transoxania,agricultureproperty,17,In Mughal documents can refer to removing someone from office.,mughals,
43,17,quruq,قرققوروق,qūrūq,transoxania,agricultureproperty,17,"""a Mongol term referring to something restricted, embargoed""",mongols,
44,18,chek,چیک,chēk,transoxania,agricultureproperty,18,"""the khan’s land constituted a distinct category: it included the khan’s fallow land (qūrūq), newly irrigated land reclaimed at the khan’s expense (chēk), and other plots that were privately owned by the khan and his family, often cultivated as gardens and orchards, known as khāsạ or khāsạ̄gī""",ferghana,280.0
45,19,khasa,خاصه,khāsạkhāsạ̄ gī,persianate,agricultureproperty,19,"""other plots that were privately owned by the khan and his family, often cultivated as gardens and orchards""",ferghana,289.0
46,19,khasa,خاصه,khāsạkhāsạ̄ gī,persianate,agricultureproperty,19,"""crown lands used to pay for the upkeep of the royal court and bureaucracy""",iran,
47,20,aq waqf,,āq waqf,transoxania,property,20,"""some of them were exempted from land-tax (āq waqf), others (qarā waqf) were subject to the latter""",ferghana,280.0
48,21,qara waqf,,qarā waqf,transoxania,property,21,"""some of them were exempted from land-tax (āq waqf), others (qarā waqf) were subject to the latter""",ferghana,280.0
49,22,milk,ملک,,islam,property,22,"""the bulk of tilled land was subdivided between the oft-disputed categories of mulk and amlāk. Mulk land could be exempted from the payment of land-tax (and was, in these cases, denominated mulk-i ḥurr), or subject to it (mulk-i kherāj). Amlāk, on the other hand, was subject to the payment of kherāj and, if not assimilated to state land altogether, was associated with somewhat weaker property rights in comparison to mulk.""",,280.0
50,22,milk,ملک,,islam,property,22,"""Beisembiev and Nabiev agree that, under the reign of the last Khan, Khudoyar, tax-free mulk land had become a blurred category, both because of the dispersion of previously existing spe- cial land rights and because the last khans had collected land-tax on all of them, whilst creating other kinds of exemptions.""",,280.0
51,24,mulk-i kharaj,ملک خراج,,islam,property,24,"""the bulk of tilled land was subdivided between the oft-disputed categories of mulk and amlāk. Mulk land could be exempted from the payment of land-tax (and was, in these cases, denomi- nated mulk-i ḥurr), or subject to it (mulk-i kherāj). Amlāk, on the other hand, was subject to the payment of kherāj and, if not assimilated to state land altogether, was associated with somewhat weaker property rights in comparison to mulk.""",,280.0
52,25,mulk-i hurr,ملک حر,,islam,property,25,"""the bulk of tilled land was subdivided between the oft-disputed categories of mulk and amlāk. Mulk land could be exempted from the payment of land-tax (and was, in these cases, denomi- nated mulk-i ḥurr), or subject to it (mulk-i kherāj). Amlāk, on the other hand, was subject to the payment of kherāj and, if not assimilated to state land altogether, was associated with somewhat weaker property rights in comparison to mulk.""",,280.0
53,25,mulk-i hurr,ملک حر,,islam,property,25,"""molki or private property, which represented the smallest part of landholdings, mostly held by absentee landlords""",,
54,26,amlak,املاک,,islamtransoxania,property,26,амлекдарство: уезд,bukhara,707.0
55,27,farman,فرمان,,persianate,royaldecreesuperior_to_junior,27,"""This consists of the royal orders and missives in which the addressee is either a member of the royal family, a noble or official of the State, a feudatory or ruling prince under the vassalage of the Mughal dynasty, or any other individual of the State, except the privileged persons such as sufis and saintly-scholars, who receive and write Maktub from and to the Emperor"" ",mughals,281.0
56,27,farman,فرمان,,persianate,royaldecreesuperior_to_junior,27,"""The tughra and the royal seal, with the exception of a few edicts, are the inevitable features of the faramin-i-sultani""",mughals,281.0
57,27,farman,فرمان,,persianate,royaldecreesuperior_to_junior,27,"in the Mughal context, the farman ""... covers both categories of royal orders, i.e. personal orders of the Emperor and chancellary orders. For the sake of convenience we call them (A) Farman-i-sultani, and (B) Ahkam-idivani.""",mughals,281.0
58,27,farman,فرمان,,persianate,royaldecreesuperior_to_junior,27,"A crucial element is that the farman signifies a degree of sovereignty: ""A farman is a public and legislative document promulgated in the name of the ruler or another person (e.g. prince, princess, governor) holding partial elements of sovereignty.""",,
59,27,farman,فرمان,,persianate,royaldecreesuperior_to_junior,27,"In the early Asaf Jahi period, only the Mughal Emperor issued farmans, which were received by the Nizam: ""There is no indication on these documents that these letters evern meant to be called Firmans by the court of Darul Insha of Delhi. It is indicative of the respectful attituded of the Nizam for the court of Delhi, that these letters were maintained in his Darul Insha as Firmans and not as letters (Khat); the letter have been maintained as a different category of documents.""",deccan,810.0
60,27,farman,فرمان,,persianate,royaldecreesuperior_to_junior,27,"""These were imperial orders. The name derived from the Persian verb ‘farmudan’, to order. In evidence from at least the Saljuk period (10th-12th centuries CE), farmans developed specific styles and conventions in the Ottoman, Safavid and Mughal empires, and distinct sub-types depending on the content and context of the order. For example, in the fifteenth century, the famous Ahmadnagar courtier Mahhmud Gawan described the eight pillars (features) of a farman. In the sixteenth century, the chief Mughal courtier, Abul Fazl, described two different kinds of farmans in use; the farman-i zabti and farman-i bayazi; the former used for at least three different purposes. Collections of farmans reveal clear differences in layout, seals, calendars and the use of set phrases between the Mughal and Bijapuri farmans. Farmans tended to be vague on details, and hence often had very detailed notes on the verso (zimn). They were also elaborated through supplementary orders from various grades of officials.""",india,992.0
61,28,tughra,طغرا,,,seal,28,علامت شخصي عالي حاكم، فرمان,,283.0
62,28,tughra,طغرا,,,seal,28,"By the time of Jahangir, Mughal tughras are more often in a square format; the more famous Ottoman ones are in a circular format; Safavid ones were also square, and may have been the inspiration for the Mughal ones. (However, the square shape was not an invention of the Mughals; there are examples going back to the Jalayirids, and there may well have been Chinese influence in the shape, via the Mongols.)",mughals,
63,28,tughra,طغرا,,,seal,28,"There was a special person in charge of scribing the Tughra known as the tughra-nawis, who effectively certified the farman.",mughals,
64,28,tughra,طغرا,,,seal,28,"When reading a tughra, there are no rules or internal logic for word order or direction (unlike seals); any word or letter can appear anywhere (at least on Indic tughras).",mughals,
65,29,farman-i bayazi,,,indic,royaldecree,29,"""The farman issued directly by the Mughal emperor without passing through the elaborate procedure and routine of the daftars, for urgent an important matters demanding an immediate execution, is known as farman-i-bayadi. It was sealed in a particular way and put in a golden cover preventing its confidential contents from being seen, and was despatched forthwith to the address through a trustworthy servant of the court""",mughals,281.0
66,30,qawl-nama,قولنامه,qawl-nāma,indic,diplomacy,30,"""A qaul-nama (Kaool-nama of the East India Company) is the unilateral executed engagement or a promise for political purpose. Such qaul-namas were very common during the period of the East India Company executed for the local Nabobs and Rajas""",mughalsbritish,281.0
67,30,qawl-nama,قولنامه,qawl-nāma,indic,diplomacy,30,this genre could be a treaty; but more often it was a revenue agreement,india,
68,30,qawl-nama,قولنامه,qawl-nāma,indic,diplomacy,30,"""Qaul Qarar (Tax Contract): These were contracts between village landlords and imperial tax officials or jagirdars, for the payment of the agreed amount of revenues into the treasury of the state or the jagirdar. In the Mughal period, these documents often started with the words 'qaul qarar patta-yi ijara', indicating the leasing out (ijara) of tax collection duties. In colonial times, they came to be termed ‘cowles’ and were handed to significant villagers by district officials. These documents were frequently bi-lingual - Persian and the local language, and often use siyaq numerals to indicate the amount payable.""",india,992.0
69,31,ramz,رمز,ramz,indic,royal,31,"""It denotes a short note of the Emperor in his own hand. The ramz and ishara are in fact short notes and points put down by the Emperor himself in his diary, or dictated to his munchis to be used as materials for the official correspondence, after""",mughals,281.0
70,32,manshur,منشور,manshūr,islam,legalroyal,32,"""A diploma of approbation conferred on religious authorities or the clergy, such as qadis and muhtasibs, as a token of reverence accorded to them by the kings... a specific term for a royal missive and a mandate in which the mursal-ilayhi is a privileged person belonging to the Royal family or the ruling class. It forms the subjects of congratulations and condolence, famous and privileges, or private and official affairs""",mughals,281.0
71,32,manshur,منشور,manshūr,islam,legalroyal,32,"In the Fatimind and Ayyubid contexts, this meant ""an 'open decree' having no address and delivered to the beneficiaries, instead of being sealed and posted to the authorities whom it concerned... it is written on a long scroll made up of a number of sheets glued together at their shorter side.""",arab_world,
72,32,manshur,منشور,manshūr,islam,legalroyal,32,"""The manshur of the Mughals, like its counterpart the farman, appears commonly as an honorary epithet... Under the Mughals, the manshur, however, signifies a specific term for a royal missive and a mandate in which the mursal-ilayhi is a privileged person belonging to the Royal family or ruling class. It forms the subjects of congratulations and condolence, famous and privileges, or private and official affairs... The manshur, as defined above appears to have been for some time in abeyance, until it emerged, at the turn of history, as a distinct royal order of a sovereign de facto awaiting the ceremony of his coronation.""",mughals,983.0
73,34,madad-i ma'ash,مدد معاش,madad-i maʿāsh,indic,property,34,"""The office of Sadr was basically concerned with charitable grants popularly known as madad-i maash.""",mughals,
74,34,madad-i ma'ash,مدد معاش,madad-i maʿāsh,indic,property,34,"""Since madad-i macash grants were, in theory, revocable by the state, Akbar might well have withdrawn them to encourage the combatants to make peace. He did not, which indicated that madad-ma’ash well have been treated as awqaf even though the state's bureaucracy did not employ that term""",,
75,35,arazi,اراضی,,islam,property,35,"""Plots of land as objects of transactions, such as grants, sale, lease.""",bukhara,282.0
76,36,dahdu,دهدو,dahdū,,taxesagriculture,36,"""basically one fifth of produce""",bukhara,282.0
77,37,hukm,,,islam,royaldecree,37,"""Decision, decree, issued by a ruler, as in the intitulatio formulae ḥukm-i ʿalī shud or ḥukm-i jahān-muṭāʿ shud.؛",,282.0
78,37,hukm,,,islam,royaldecree,37,"ḥasb al-ḥukm were orders to the ministers from the center ""covered a large variety of state and administrative matters""; contrast with ḥasb al-amr, which referred to orders issued by regional officials",,983.0
79,37,hukm,,,islam,royaldecree,37,ḥukm-nāma: used to refer to orders handed out by the Political Agency in Bukhara,bukhara,1214.0
80,37,hukm,,,islam,royaldecree,37,ḥukm-nāma: постановление,bukhara,1210.0
81,39,mu'ad,معاد,muʿād,islam,financiallegal,39,"""Term of recurrent payment in rentals and leases.""",,282.0
82,40,mubarak-nama,مبارکنامه,,,royaldocument_type,40,"""Decision of the ruler in (positive) response to a petition.""",bukhara,282.0
83,40,mubarak-nama,مبارکنامه,,,royaldocument_type,40,Example of going to Karmina to get such a document from the Amir: فقرایان بکرمینه برکاب نصرت انتساب عالیمولایم رفته یکمبارکنامه بنام غلامشان امیر قل یک اشیک اقا باشی و ایندعاگوی از برای استیفا آوردند,bukhara,979.0
84,41,iqrar,اقرار,iqrār,islam,financiallegal,41,"""Public acknowledgment, declaration or deposition made by the vendor in deeds of sale...""",,282.0
85,41,iqrar,اقرار,iqrār,islam,financiallegal,41,"""An iqrar was a legally binding declaration (sometimes translated as ‘confession’) in Islamic law, and hence of highest probative value. Document recording such declarations also came to be called iqrars or iqrar-namas, and were used to record sales, debts and other inter-personal transactions. These were inevitably sealed by the qazi. In the Indian sub-continent, they were frequently bi-lingual, and included multiple attestations in the margins of the documents, also in various scripts and accompanied by seals and symbols. It appears that in the Arabic-writing parts of the Indian Ocean, iqrars came to be used primarily as record of debt.""",india,992.0
86,42,nishan,نشان,,,decreedocument_typesuperior_to_junior,42,"""Decree, order, and one of the terms used to refer to them in the documents themselves.""",bukhara,282.0
87,42,nishan,نشان,,,decreedocument_typesuperior_to_junior,42,"Essentially, these are Farmans issued on behalf of the sovereign by someone else - and hence cannot be called a farman. However, in the Dar al-Insha of the early Asaf Jahis, these are nevertheless classified as farmans.",deccan,810.0
88,42,nishan,نشان,,,decreedocument_typesuperior_to_junior,42,"close in meaning to the chak-nāma: ""In some cases of chak-bandī, a nishān of the prince would act as the final authority for the execution of the grant.""",mughals,983.0
89,42,nishan,نشان,,,decreedocument_typesuperior_to_junior,42,"""A nishan was a Mughal term for orders issued by princes of the royal house, or by some exceptionally powerful queens and princesses.""",india,992.0
90,42,nishan,نشان,,,decreedocument_typesuperior_to_junior,42,орден (another meaning is 'medal' or 'decoration'),bukhara,1356.0
91,43,qibla-gah,قبله گاه,,,,43,"""'Place [acting as] qibla,' formula used to address men older than the writer (in private and official letters).""",,282.0
92,44,uskuna,اسکنهسکنیات,uskunasukniyāt,,property,44,"""Any kind of property produced by human labor on a given plot of land: plants, trees, buildings and so forth. Can form the object of a transaction separately from the land itself.""",transoxania,282.0
93,45,tasadduq,تصدق,,transoxania,,45,"""Sacrifice. Used in the formula (p) taṣadduq-i sar-i mawlāyam shawam, 'Let me be the sacrifice offered for my master's head,' used as address in letters written to the rulers in late 19th - early 20th century Bukhara.""",bukhara,282.0
94,46,yarliq,یرلیقیرلیغ,,,royaldecreedocument_type,46,"""Decree issued by the ruler.""",transoxania,282.0
95,46,yarliq,یرلیقیرلیغ,,,royaldecreedocument_type,46,"Features of a Yarliq: ""All its elements are present: the invocation, the intitulation, the formula of public promulgation, the addressee, the disposition and so forth, and at the end, as part of the eschatocol, the date and the seal imprint.""",transoxania,282.0
96,47,nazr,نذر,,,royalsubordinate_to_superior,47,"Company official Buckley ""noted that the company had maintained its ritual subordination to the body of the emperor by presenting offerings (nazr) upon gaining a royal audience and accepting robes of honors (khil'at) at least until 1843, what it abandoned these practices.""",british,
97,47,nazr,نذر,,,royalsubordinate_to_superior,47,"""The Nizams—unable or unwilling to raise the peshkush—extracted greater resources from the samasthan families by accepting and demanding ever-increasing nazr that substantially added to the amount of funds flowing from the samasthan families to their coffers.""",deccan,
98,47,nazr,نذر,,,royalsubordinate_to_superior,47,"""Starting sometime in the seventeenth century, vows (nezir, Ar. nadhr) began to be used in the central lands of the Ottoman Empire as a means to seal contracts of a public nature. Although these vows were similar to the more common and older forms of customary compacts that also pertained to public matters, vows had a better defined status in sharia and could entail worldly liability in addition to moral/religious obligation.""",ottomans,
99,49,akhta-khana,,,transoxania,place,49,اصطبل، بارها در سال 1842 به معناي جاي اعدام به كار ميرفت,ferghana,283.0
100,50,ashrafi,اشرفی,ashrafīmuhr-i ashrafī,,money,50,سكـة طلاي تمام وزن )يك من غلّـه در ايـام سـخت بخـارا، يـك اشـرفيميارزيد(,transoxania,283.0
101,50,ashrafi,اشرفی,ashrafīmuhr-i ashrafī,,money,50,gold coin,bukhara,282.0
102,50,ashrafi,اشرفی,ashrafīmuhr-i ashrafī,,money,50,"After Nadir Shah conquered Delhi: ""To integrate the Indian and the Persian monetary system, the new Persian monetary system adoopted the Mogul gold mohur, known in Persian as mohr-e ashrafi, weighing almost exactly 11 grams. This meant that Nader abandoned his attempt to model the monetary system after the Spanish real of eight, widely used in long-distance trade at the time"" (Floor, “The Persian Economy in the Eighteenth Century,"" 142).",iran,
103,51,aq qara pul,آق قرا پل,,transoxania,money,51,پول مسي و نقره,ferghana,283.0
104,52,ulghat,الغات,,,financialtaxes,52,پيشكش براي حاكم,ferghana,283.0
105,53,utaqa,اوتاقه,,,clothing,53,دستار، سرپوش,ferghana,283.0
106,54,baj,باج,,,taxescustoms_duty,54,ماليات گمركي كه بر بازرگانان و قبيلههاي چادرنشين روسي بسته ميشد,transoxania,283.0
107,55,pud,پوت,,,measurement,55,واحد وزن؛ 45 پوند = 9 من بخارا,transoxania,283.0
108,56,tarikana,تریکانه,,transoxania,taxesinheritance,56,ماليات تقسيم و ارث بردن به مبلغ 1/40 ارزش تركه,,283.0
109,57,tanga,تنگه,,transoxania,money,57,سكـة نقره ]همچنين سكـة سفيد[؛ 5 تنگه = يك صوم )روبـل روسـي( نقره، يعني يك تنگه = 20 كوپك )هر كوپك يك صدم روبل(؛ وزن هر 5 تنگـه = يك مثقال شرعي,,283.0
110,58,dirham,درهمدرم,,islam,money,58, سكـة نقره، مترادف تنگه,transoxania,283.0
111,59,dahyak,دهیک,,bukhara,madrasastipend,59, بورس 120 تنگه كه به بهتـرين دانشـجويان در واپسـين سـال هـاي دانشجويي در مدرسه در روزگار اميرحيدر در بخارا )1800ـ1826( ميدادند,bukhara,283.0
112,60,dinar,,,,money,60,سكـة طلا، مترادف طلا,transoxania,283.0
113,61,arz,عرضعریضهعرضنامه,,persianate,subordinate_to_superior,61,درخواسـت نامـة يك پايين دست به بالادست,transoxania,283.0
114,61,arz,عرضعریضهعرضنامه,,persianate,subordinate_to_superior,61,"""A petition, an address, a memorial, a respectful statement or representation, whether oral or written.""",,508.0
115,61,arz,عرضعریضهعرضنامه,,persianate,subordinate_to_superior,61,"In the Ottoman system, an arz goes from a lower official to a higher one, whereas the arz-i hal comes from a commoner with no status to an official.",ottomans,
116,61,arz,عرضعریضهعرضنامه,,persianate,subordinate_to_superior,61,"Asaf Jahi Dar al-Insha grouped petitions from inferiors to superiors together: ""these petitions were called Arzi, Ma'ruzah, Darkhwast, Suwal""",deccan,810.0
117,61,arz,عرضعریضهعرضنامه,,persianate,subordinate_to_superior,61,"Form of Wajib al-Arz under the Asaf Jahis: ""The items, regarding which orders are sought, are put in separate columns. The name of the petitioner who submits a wajib ul arz is given on the top of the document at the beginning of the text. The first opens with the phrase: 'awwal an ke' (the first is that) and all subsequent items are detailed with the opening phrase 'digar an ke' (the other is that). Each item ends with the phrase like 'har chi hukm shawad' or 'Har chi Amir' (as may be ordered). Space is left blank at the end of each item for recording the orders issued in respect of each item.""",deccan,810.0
118,61,arz,عرضعریضهعرضنامه,,persianate,subordinate_to_superior,61,"""Arzdasht (Petition): Petitioning rulers and social superiors was an essential part of statecraft in Mughal India and even afterwards, during the colonial era. There were elaborate rules for the correct drafting of such petitions. They had to be sufficiently respectful and self-deprecatory, but also properly calibrated to the relative status of the petitioner and the recipient. Petitions sometimes contained specific requests, but very often, all formal communication with the ruler or a social superior had to be in the form of a petition. The tradition of petitioning continued well into the colonial period.""",india,992.0
119,62,ushr,عشر,,,agriculturetaxes,62,ده یک: ماليات كشاورزي,,283.0
120,63,batman,,,,measurementweight,63,10.5 пуд,tashkent,286.0
121,63,batman,,,,measurementweight,63,"""Тавризский батман (7 фунтов)""",iran,307.0
122,64,maliet,малiетъمالات,,,taxes,64,"""малиеть - 1 овцу с сорока, с отсальных животных Хан не брал малиета, хотя по закону мусульманскому полагается со всякаго скота брать 1 с 100""",tashkent,286.0
123,64,maliet,малiетъمالات,,,taxes,64,"Iranian rice tax: ""Так называется подать платимая в Персии с пахатных полей, и преимуществнно с рисовых плантаций.""",iran,307.0
124,65,chaltuk,چلتوکشلتوک,,iran,agriculture,65,شالی,iran,8.0
125,65,chaltuk,چلتوکشلتوک,,iran,agriculture,65,برنجی که هنوز از پوست برنیاورده باشند,iran,8.0
126,65,chaltuk,چلتوکشلتوک,,iran,agriculture,65,"""чалтук (туземное название рисовых плантаций)",iran,307.0
127,67,buluk,بلوک,bulūk,iran,province,67,جائی که مشتمل بود بر چندین قریه و ده,iran,8.0
128,67,buluk,بلوک,bulūk,iran,province,67,"""булюк: округ""",iran,307.0
129,68,gaz,گز,gazgiaz,iran,taxescustoms_duty,68,namesake town: قصبه ای از دهستان انزان، بخش بندرگز شهرستان گرگان,iran,8.0
130,68,gaz,گز,gazgiaz,iran,taxescustoms_duty,68,"""В Астерабаской области существует одна только таможня, расположенная на южном берегу Астерабадскаго заливе вестах в 4 от селения Гязь, по имени коего называется Гязскою.""",iran,307.0
131,69,tanab,طناب,ṭanāb,transoxania,measurementagriculture,69,equivalent to 1/6 десятины,bukhara,299.0
132,69,tanab,طناب,ṭanāb,transoxania,measurementagriculture,69,"as of 1886, 1 desiatina was equivalent to 3.84 Bukharan tanabs",bukhara,1178.0
133,69,tanab,طناب,ṭanāb,transoxania,measurementagriculture,69,"as of 1886, 1 Bukharan Tanap was equivalent to 1.56 Tashkent Tanaps",,1178.0
134,70,aminana,,,bukhara,tradetaxes,70,"""аминана - крайне обремительный для населание, не имеющий накаких оснований в Шариате и установленный покойным Эмиров Музафар-Эддин-Ханом исключительно по случаю его войны с русскими, но до сего времени не отмененный.""",,299.0
135,70,aminana,,,bukhara,tradetaxes,70,"Tax for right to sell in the bazaar: ""налог аминана за право стоять на базаре, пользоваться всеми, и т.д.ю""",,299.0
136,70,aminana,,,bukhara,tradetaxes,70,Russian administrators associated the origin of the tax with jihad against the Russians in 1865-8.,,299.0
137,70,aminana,,,bukhara,tradetaxes,70,D.S.S. Liutsh estimated the Amir's yearly income from this tax at 200 thousand rubles.,,299.0
138,72,tash,تاش,,transoxania,distancemeasurement,72,"in Russian texts, sometimes literally translated as камень, sometimes transliterated: ""по дороге часто встречаются селения, самое большое разстояние между которыми непревосходить 4х камней""",bukhara,298.0
139,72,tash,تاش,,transoxania,distancemeasurement,72,"35 tash between Samarqand and Ura-tepa: ""От Самарканда до Ура-Тюпе считается 35 камней.""",bukhara,298.0
140,72,tash,تاش,,transoxania,distancemeasurement,72,"10 верст (in this reference, 6 tash = 60 verst)",bukhara,1169.0
